Sample,X,Y,Z,Protolith,Weathering,SiO2,Al2O3,Fe2O3,MgO,CaO,TiO2,P2O5,BaO,C
SR09-021 61.00 a 71.00,1183.04,2159.99,1082.08,BEB/DC,MB,18.58,1.44,24.38,5.56,21.13,1.49,15.12,1.45,0.64
SR09-059 81.70 a 91.50,1208.15,2254.54,1082.16,BEB/DC,MB,26.72,3.04,24.66,5.21,14.32,4.16,11.88,1,0.41
SR09-071 87.25 a 99.80,991.16,2227.36,1064.48,BEB/DC,MB,28,3.78,21.66,10.75,11.8,4.48,8.79,0.96,0.28
CMA-BAR-DH-0159 14  a 23.2,1323.8425,2265.6586,1079.24,BEB/DC,RA,24.18,3.03,16.3,16.22,14.46,3.58,5.58,0.3,1.8
CMA-BAR-DH-0159 5.2  a 14,1323.8425,2265.6586,1088.24,BEB/DC,RA,21.52,2.08,22.82,15.18,14,3.62,5.96,0.36,1.73
CP09-0023 16.90 a 27.30,1270.5,1933.5,1068.5,BEB/DC,RA,27.62,2.42,26.39,12.85,11.32,3.11,5.28,0.32,1.15
CP10-0002 60.10 a 75.20,1175.04,2175.06,1067.81,BEB/DC,RA,22.52,2.16,14.35,12.04,16.48,4.02,6.77,1.4,2.65
CP10-0007 44.50 a 57.40,1200.06,2157.37,1081.43,BEB/DC,RA,17.53,1.63,39.37,8.99,8.95,2.51,4.94,2.84,1.3
CP10-0007 57.4 a 65.95,1200.06,2157.36,1070.71,BEB/DC,RA,17.5,1.87,19.31,12.69,16.35,2.77,7.84,1.68,3.19
CP10-0014 30.80 a 50.75,1254.18,2153.73,1080.9,BEB/DC,RA,24.76,2.38,20.18,11.11,16.26,2.96,7.92,0.56,1.68
CP10-0020 19.40 a 25.75,1300.02,2151.68,1089.29,BEB/DC,RA,31.7,1.95,18.7,11.2,12.58,2.79,4.73,0.2,2.16
CP10-0027 24.90 a 30.20,1400.07,2149.95,1069.26,BEB/DC,RA,25.83,2.13,20.5,10.74,14.67,3.14,9.66,0.28,0.97
MB36 78.20 a 92.02,1334.08,2161.28,1076.91,BEB/DC,RA,21.47,2.51,18.95,12.23,14.93,2.82,6.26,1.16,2.45
MB59 62.50 a 71.40,1450,1900,1049.45,BEB/DC,RA,15.31,1.65,15.81,6.61,28.29,2.54,18.45,0.21,1.23
